identifier,gene_name,centroid1,centroid2,centroid3
222592_s_at,ACSL5,0.0126964128,0,0
202478_at,TRIB2,-0.0109084811,0,0
231773_at,ANGPTL1,0,0,0.0092569108
226084_at,MAP1B,0,0,0.0089683073
225541_at,RPL22L1,0,0.0071337162,0
1560503_a_at,LOC100130275,0,0.0058621191,0
217627_at,ZNF573,0,-0.0055713369,0
226612_at,UBE2QL1,0,0,0.0052123156
229067_at,SRGAP2C,0,0,0.0047671348
222453_at,CYBRD1,0,0,0.0015349862
213788_s_at,LINC00094,0,-0.0014306443,0
241755_at,UQCRC2,0,-0.0013591815,0
212349_at,POFUT1,0.0009356283,0,0
225224_at,C20orf112,0.0003824095,0,0
