"GSM820048" "GSM820049" "GSM820050" "GSM820051" "GSM820052" "GSM820053" "GSM820054" "GSM820055" "GSM820056" "GSM820057" "GSM820058" "GSM820059" "GSM820060" "GSM820061" "GSM820062" "GSM820063" "GSM820064" "GSM820065" "GSM820066" "GSM820067" "GSM820068" "GSM820069" "GSM820070" "GSM820071" "GSM820072" "GSM820073" "GSM820074" "GSM820075" "GSM820076" "GSM820077" "GSM820078" "GSM820079" "GSM820080" "GSM820081" "GSM820082" "GSM820083" "GSM820084" "GSM820085" "GSM820086" "GSM820087" "GSM820088" "GSM820089" "GSM820090" "GSM820091" "GSM820092" "GSM820093" "GSM820094" "GSM820095" "GSM820096" "GSM820097" "GSM820098" "GSM820099" "GSM820100" "GSM820101" "GSM820102" "GSM820103" "GSM820104" "GSM820105" "GSM820106" "GSM820107" "GSM820108" "GSM820109" "GSM820110" "GSM820111" "GSM820112" "GSM820113" "GSM820114" "GSM820115" "GSM820116" "GSM820117" "GSM820118" "GSM820119" "GSM820120" "GSM820121" "GSM820122" "GSM820123" "GSM820124" "GSM820125" "GSM820126" "GSM820127" "GSM820128" "GSM820129" "GSM820130" "GSM820131" "GSM820132" "GSM820133" "GSM820134" "GSM820135" "GSM820136" "GSM820137"
"229215_at" 780.9 923.9 16.7 5.6 977.9 1050.4 672 172.6 238.9 1037.3 443.4 68.7 104.6 444.5 960.7 427.4 746.7 505.9 584.4 74.6 340.7 491.7 1247.9 636.9 27.1 853.7 954.4 15.8 75.1 673.3 1141.8 660.9 266.6 1078.5 753.5 568.2 1332.6 1067.4 1440.5 1176.7 654.9 1207.2 30.2 308.1 14.8 1476.9 795.7 811.1 313.6 609.8 16.3 18.7 983.2 680.7 155.3 367.9 99 440 365.5 134.4 2039.8 697.8 267.5 1036.1 41.1 1322.6 703.2 832.7 240.5 810.5 48 362.8 1150 87.7 23.4 667 745.8 512.8 1094.3 601.1 100.1 1095.4 2055.6 109.1 1015.8 1839.2 231.3 307.4 713.4 1011.4
"223694_at" 14.6 3.3 258.9 186 2.9 3.6 14.1 73.8 131.9 3.8 10.5 38.1 157 10.7 5.8 250.3 13 11 28.3 361.7 98.5 75 7.9 21.6 30.3 19.8 2 5 55 2.2 4.5 4.3 231.9 4.2 14 54.4 16.3 24.9 4.1 12.7 45.4 4 253 126.8 90.6 5 17.5 11.9 338.4 4.5 150.2 206.4 6.3 14.6 3.5 3.1 87.2 88.6 101.4 23.4 5.3 9.4 22 2.4 175.1 7.4 71.1 2.1 255.3 20.1 255.1 186.1 5 280 48.8 1 37.5 19.3 207.6 4.3 282.1 24 4.3 219.7 29.2 0.9 232.2 124.6 38.5 8.8
"219890_at" 14.7 5.7 34.7 117.8 13.6 20.5 24.3 53.4 46.1 16.2 9.4 95.8 40.9 71.2 7.8 24 12.8 23.2 23.9 69.2 14 0.6 8.6 86.1 222.1 4.2 13.7 27.3 71.1 75.2 48.8 1.2 54.3 43.1 18.4 86.7 20.8 19 15.7 23.6 38.8 5.8 66 76.1 27.3 50.1 14 14.5 133.7 12 34.6 93.7 43.7 10.6 59.2 4.1 55.9 118.1 3.8 72.8 3.6 57.6 35.1 2.2 124.6 29.8 17.7 3.4 22.7 17.2 46.2 22.6 0.5 46.8 47.5 11 23.8 37.7 34.2 66.9 59.8 22.9 13.5 30.5 1.8 38.4 33.6 88.5 31.2 5.5
"213413_at" 98.4 62.7 56.6 39 54.5 50.6 91.2 70.7 79.5 95 61.9 263.1 107.1 172.1 51 10.5 31.9 83.6 46.4 120.3 58.8 26.6 33.8 85.8 292 65.2 92.4 68.6 178.6 197.2 40.5 31.1 35.9 87.9 40.4 350.4 85.6 122.5 34.2 164.7 188.8 67.3 294.8 149.3 112.4 64.7 107.8 50.6 102.2 149.5 98.2 300.9 220.7 57.5 144.7 74.4 347.6 28.1 55.3 94.6 112.8 245.5 76.6 54.7 186.5 103 46.9 52.7 151.1 147 61.5 124.1 31 80 59.5 50.5 95.8 68.8 45.9 174.3 99.8 77.9 71.6 92.9 38.3 159.2 35.4 126.9 135.1 33.6
"214070_s_at" 1036 1085.2 326.1 141.4 1149.1 1381 1326.6 292.1 313.5 1018.8 2000.4 539.9 160.3 602.3 1607.2 171.1 1565.9 1073.2 1484.8 647.9 395.1 1467.3 719.2 250.5 234.6 2346.9 1381.4 308.1 154.8 1022.5 777.2 1368.9 360 1152.5 859.2 719 1678.9 1662.6 1596.6 946.8 911.3 1989.9 205.1 465.3 877.1 1606.7 922.4 1835.3 1012.7 1724.2 391.5 215.3 718.2 665.9 295.1 1762.8 454.7 1335.2 624.5 867.7 1662.5 495.7 589.6 2198.2 356.1 1251.6 1360.2 1953.2 539.2 1090.3 204.3 488 2363.6 28.2 514.6 1909.2 797.5 394.4 20.3 330 36.9 870.6 1838.8 605.6 1570.3 402.2 250.1 783.2 1140.9 973.6
"220553_s_at" 132.4 99.6 404.7 540.3 163.6 173 168.8 284 373.4 139.1 124.4 317.8 302 117.7 163.8 449.4 153.8 168.5 212.7 423.3 294.6 236.4 146.1 415.2 236.6 135.2 72.9 339.5 302.1 115.9 64.7 113.4 296.4 70 134.3 115.2 111.5 94.1 95.7 130 119.5 127.7 224.8 121.9 69.2 65.9 87.7 86.6 311.6 98.1 175.1 226.5 127.7 172 244.4 63.5 123.5 209.8 178.9 143.6 104.6 115.2 98.4 93.4 221.5 81.7 157.9 71.7 159 100 404.2 98.1 159.6 299.7 307.6 190.3 157.7 130.1 395.4 166.3 432.6 146.5 146.4 273.7 120.5 227.9 452 234.3 178 190.1
"204749_at" 25.6 25.8 27.2 11 21.1 16.5 34.6 24.8 11.1 32.2 24.1 94.1 31.5 64.7 15.2 3.8 12.9 29.1 16 38.7 12.1 4.5 1.4 26.4 122.2 22.7 36.5 18.4 71.8 50.7 23.7 6.4 15.6 47.1 8.6 106.1 46.8 43.6 20.9 50.9 87.6 22.1 84.8 49.8 19.2 16.4 37.7 19.3 34.9 48.7 33.1 111 102.6 32 52.9 15.2 47.7 1.2 7.1 29.1 35.4 104.3 38.6 13.5 110 44 14.6 20.5 60.5 58.7 10.7 54.1 16.2 25.2 20.2 20.5 29.4 19.1 8.3 100.3 22.8 20.9 29.4 50.4 13.8 60.7 9.3 28.5 51.6 9.1
"209781_s_at" 260.6 382 22.6 24.1 101.8 213.8 262.2 43.2 16.5 127.5 208.1 87.8 27 212.1 124.2 13.9 194.4 185.9 56 40.9 39.4 59.3 146.2 60.2 165.6 124.7 260.7 131.2 99.5 80.4 131.1 265.6 29.1 190 40.7 294.7 335.7 515.4 222.3 120.3 86.6 180.5 113.5 68.2 184.8 307.6 109.5 157.5 95.3 91.9 220 55 124.9 98.4 103.5 166.4 159.8 17 62.3 147.9 248.4 152.6 59.2 240.4 112.3 257 128.6 311.4 87.1 140.4 39.6 63 284.1 28.9 66.3 148.5 142.3 98.5 27.7 198.4 34.6 193.8 78.2 58.6 241.6 181.5 26.6 45.5 170.4 272.1
"225242_s_at" 165.4 116.4 148.1 79.4 53.9 75.6 237.2 167.9 72.2 240.1 162.9 995 206.1 318.3 58 58.2 109.6 150.5 63 186 39.6 23.3 24.5 278.3 658.8 143.9 162.7 145.9 964.8 719.9 142.8 29.3 82.5 357.6 59.1 689 185.9 411.6 88 243.7 326.9 98.1 2001.1 333.6 155.5 83.9 254.6 113 206.7 240.7 205.6 1614.9 702.6 91.8 240.1 111.9 1640.4 27.5 42.7 185.9 164.5 1280 172.6 63.1 902.1 159.5 103.1 50.7 327.2 369.5 84.8 269.9 62.2 272.1 116.6 67.8 208.2 142.7 135.5 249.9 184.1 119.4 278.1 427.9 49.9 585 52.2 174.4 252.3 23.3
"202203_s_at" 112.4 58.4 348.7 171.6 11.8 89.4 43.8 220.5 189.4 79.7 32 183.4 117.3 141.4 30.9 441.9 289.7 24.9 54.1 280.5 256 103.1 61.5 326.3 127.7 59.4 31.8 48.6 123.9 30.4 46.1 13.5 78.6 34.8 37.2 15.4 12.7 21.2 38.9 34.9 26.1 24.3 78.7 14.9 16.2 13.8 3.6 13.8 118 57.2 64.8 47.4 31.9 18.3 52.2 14.7 31.6 53.4 45.8 13.5 42.7 45.7 1.6 41.3 33.5 54.2 31 34.7 24.1 33.1 126.5 79 116.1 138.5 317.8 148.7 99.2 113.7 258.1 5.2 109.6 25.5 27.2 81.8 15.8 13.6 352.8 140 77.1 113.5
"235182_at" 1.1 4.1 14.9 1.3 25.2 12.1 20.8 12.7 2 20.3 13.7 92.8 28.7 92.6 1.6 4.8 10.8 20.7 8.4 21.4 23.2 2 1.8 8 49.3 10.1 43.1 19.4 72.6 84.4 32.7 12.3 12.9 54.8 0.6 98.2 20.7 29.5 17.6 32.6 47.8 20.6 73.1 54.2 3.8 7.1 25.1 16.4 20.6 17 19.5 114.4 76 17.6 29.5 9.9 103.2 12.8 11.3 20 31.3 102.2 46.4 1.6 113.7 38 8.4 9.7 34.6 60.3 8.3 41.4 1.5 25.9 16.8 28.3 37.6 21.8 4.9 37.8 13.2 13.6 30.1 32.7 9.4 43.7 4.8 14.7 56.1 6.1
"213369_at" 98.7 77.2 1.1 1.3 246.8 187 100.5 4.8 122.1 101.7 305.3 38.4 0.9 3.9 121.1 16.6 72.8 274.3 104.1 32.7 1.2 167.4 139.8 101 23.6 84.7 190.2 0.9 0.7 31.1 75.2 61.1 24.1 64.3 71.7 41.3 145.3 85.5 232.9 108.6 11.6 204.9 34.8 26.4 8 42.8 32.2 149.4 54.3 94.8 18.7 0.6 15.3 260.6 32.8 40.1 145.7 0.9 149.3 78.7 103.9 64 1.3 133 58.5 96 187.6 100.5 7.2 109.7 0.9 0.8 156.4 0.7 0.9 50 158.1 95 1.3 38.4 0.6 245.4 21.8 28.8 272 83.8 26.1 0.7 74.2 38.2
"205311_at" 979.3 958.6 83.7 75.9 1284.3 1291.4 850.8 757.9 964 523.7 1228 24.1 139.5 421.5 992.5 429.7 695.3 751.1 801.1 127.2 276.9 596.5 1934.3 519.7 2 801.8 703.6 156.9 90.5 865.8 1453.2 884.5 376 604.7 1106.5 110.4 1060.7 718 941.4 708.2 586.9 733.3 80 449.2 52.7 953.4 744.9 1154.5 397.4 1248 186.5 10.4 124.5 1365.2 55.7 923.3 189.2 330 337.4 380.8 1067 58.3 782.6 979.6 178.6 1195.7 746.4 716.6 426 413.8 127.8 539.6 1419 14.3 185.6 721.1 785.7 1643 1.2 412.6 29.6 534 1899.9 413.8 1087.4 181.1 617.1 271.9 758 1262.7
"204939_s_at" 159.2 273.9 168.9 58.1 97.3 35.8 230.6 315.5 127.5 266.6 141.6 1100.3 449.2 491 67.5 35.9 61.9 118.7 34.5 227.3 71.1 67 37.2 307.2 1152.8 152.7 154.8 85.9 481.6 368.5 120.8 35.5 65 111.7 18.7 772.5 264.5 415.7 82.5 518.9 544.5 52.5 510.1 272 217.2 62.6 194.4 102.6 145.9 507.2 289.8 393.2 655 155.8 288 67.9 510.8 14.7 62.4 74.1 301.8 665.9 156.8 134.2 830.6 294.5 69.8 87.1 1334.9 417.4 86.2 669.5 19.1 112 129.3 26.7 329.2 109.4 18.2 489.1 205.4 60.4 92.7 240.2 58.2 232.9 46.7 67.4 134.2 32.8
"209425_at" 202.1 405.4 68.5 83.9 278.6 292.7 259.6 55.3 87.6 244.7 538.4 43.4 48 358.3 237.3 49.3 236 232.5 226.6 55.5 97.2 192.8 581.8 102.8 57.6 261.6 467.5 38.9 91.5 467.2 819.2 103.9 57.6 722 187.1 59.7 420.1 538 1041.2 359.7 228.9 171.6 54.8 200.4 109.9 1641.1 1044.2 487 69.1 103.5 79.7 44.4 204.9 171.5 59.4 142.7 42.2 78.6 127.6 71.4 550.1 255.2 140.1 254.8 77.6 470.7 238.4 398.2 110.5 199.5 81.3 69 200.8 61.6 92.8 393.6 292.2 257.6 112.8 630.6 53.5 448.5 257.6 84.6 276 385.9 157.4 39 208 196.3
"1560587_s_at" 2634.8 3351.7 1224.3 1131 3232.5 2727.9 3420.1 1000.2 1345.2 2496.8 2267.9 775.7 1124 666.9 3329.7 1310.3 2925.7 3267.8 2058.2 1026.2 1215.2 2521.8 1294.5 1141.8 780.3 3081.5 4147.3 1342.1 793 2256.4 2220.4 1633 1188 4071.4 1633.7 1008 2957.9 3213.6 2940.4 2333.6 2647.2 4479.1 1020 1356.6 670.6 1513.1 2456.2 2692.9 1376.2 1182.6 933.8 1193.5 2257 2629.6 1303.1 3942.3 843.6 704.1 1311 766.9 2683.7 751.7 892.9 2197.9 1089.1 4048.2 2565.6 3521.7 2475.6 2765.7 1193.7 1141.6 3338 1094.7 1597.7 4518.8 3064.3 2418.2 1181.7 2709.2 993.4 2934.3 2738.1 1477.6 3507.1 2356 1612.9 1342.1 2923.4 4007.6
"228640_at" 130.7 83.5 74.4 72.8 124.9 44.5 213.8 112.9 104.9 151.2 99.5 299.4 100.1 307 64.4 185.7 72.5 150 63.8 209.7 70.1 50.5 32.1 70.8 386.9 100.8 117.1 137.5 461.6 255.7 121.7 41.5 84.3 259.4 82.3 535.1 236.4 239.4 85.8 240.4 300.5 101.7 323.5 278.7 187.8 57.4 276.9 123 164.6 346.2 141.3 237 501.2 142 688.6 112.2 436.2 8.2 76.5 141.1 218.5 484.4 267.6 109.7 552.7 190.5 126.6 86.3 381.3 290.7 46 265 50.9 39.5 91.9 97.6 175.5 106.3 33.6 236.6 118.7 106.6 175.1 192.6 47.2 208.2 52.1 177.7 265.5 33.6
"225782_at" 295.7 251 188.9 171.7 192.9 128.9 318.2 245.4 215.2 274.8 172 724.1 357.1 409.8 151.6 53.4 140.2 274.6 101.7 399 117.8 100.3 56.3 240 1138.6 172.8 231.5 227.2 740.2 520.1 217.1 77.4 163.4 393.6 89.7 990.6 353.8 536.7 190.3 529.5 772 211.2 1064.2 497 238.5 138 354.1 215 341.2 489.6 364.9 861 828.1 279.3 506.5 189.9 768 61.2 102.5 255.5 420.2 943.8 321.5 159.7 1088.1 279.2 197.6 165.4 755 644 145.8 521.9 110.1 154.1 237.4 136.5 356.7 200.5 81.1 668.1 410.7 227.1 246.8 357.1 129.4 370.6 103.9 278.6 328.1 92
"208050_s_at" 55.6 56.5 72.6 89.2 55.1 20 43.3 120.4 215 26.6 17.1 92 64.9 57.9 26.9 110.3 50.9 44.2 51 165.6 95.3 54.2 58.5 83.7 40.9 18 34.2 54.8 28.5 34.2 22.3 25.4 58.3 24.8 29.4 25.9 19.5 20.2 19.7 26.8 23.7 33.4 36.2 27.4 18.4 26.5 19.7 28.1 53.4 7.7 28.3 27.1 12.8 26.2 47.2 28.5 24.9 32 21.1 27.9 36.9 25.8 35.9 42.5 28 26.7 46.3 29.6 18.1 25.1 30.4 30 27.8 88.4 235.7 29.6 50.7 46.6 114.9 30.8 67.3 36 81.3 102.2 47.6 45.4 166.5 56.8 60.8 56.3
"209687_at" 104.9 120.9 186.9 44.6 28.1 154.8 289.5 288.4 37.3 171 120.2 1059.6 313.8 330.7 55.8 23.6 133.3 97.2 75.1 138.8 51.6 94.2 57.4 335.6 1742.3 369 102.9 96.5 569.6 289.1 152.3 32 104.4 153.9 50.3 694.2 116.2 331.6 29.1 283.9 333.4 53.8 894.3 230.6 176.6 78 132.2 42.2 67.1 208.1 188.7 575.4 331.6 82.9 349.2 128.3 763.3 9.8 34.8 354.5 50.9 783.3 161.4 79.3 750.2 83.1 90.2 41 305.4 460.3 47.1 378.1 61.5 501.3 76.7 109.8 173.7 76.2 205.1 185.8 82 88.3 335.9 509.4 57.9 375.4 32.8 111.5 214.8 68.5
"219410_at" 141 117.3 188.1 338.4 91.4 118.7 135.4 366.8 238.7 136 128.8 978.1 391.3 540.7 89.2 115.5 92.3 165 66.8 272.8 74.4 22.4 24.5 220.4 1240.1 83.3 132.4 116.6 279.7 307.9 103.7 127.3 149.2 167.8 55.4 558.3 133.9 156.1 101 134 234.9 92.9 725 300 131.6 80.4 140.9 116.9 302.2 150.7 156 464.9 428.2 93.7 339.3 85.4 522.4 88.3 96.6 174.2 112.6 459.6 192.9 54.6 522.8 89.9 127.1 73 170.3 171.2 511.8 157.9 77.6 341.4 198.4 138.9 212.8 129.7 220 367.7 291.9 140.9 163.8 328.8 71.1 382.7 149.4 2066.3 145.7 46.6
"220082_at" 224.5 189.5 71.8 35.6 485.2 244.9 525.5 357.8 281.5 410.1 625.2 38 65.6 185.6 560.3 37.8 472 460.5 375.1 117.3 203.1 267 294.6 69.3 9.7 546.2 248.1 154.6 221.8 505.7 398.5 829.6 156.7 378.5 155.9 207.4 259.5 333.3 317 317.2 371.8 390.5 46.2 230.8 153.2 244.6 190.2 574.6 108.3 386.2 69.7 6.5 124.2 264.9 50.8 451.7 52.1 31.5 260.9 117.5 267.7 80.9 229.3 280.7 106.9 510.5 253.5 664.8 353.8 367 70.8 168.1 605.2 17 196.7 744 199.6 488.8 24.3 272.9 36.4 589.9 349 309.2 724 151.7 192.8 133.1 378.3 703.3
"219434_at" 33.2 32 98.4 1004.7 34 180 57.9 186.6 191.6 38.5 30.6 308.9 209.8 193.2 79 88.4 75.7 28.8 66.3 330.5 54.2 1.9 14.5 174.8 376.3 7.1 35.7 52.6 79.7 120.7 229.2 16.5 193.5 47.8 33.1 218.9 29.6 12.9 59.1 40.6 53.4 36.8 633.3 329.4 163.6 151.2 43.7 36.1 466.2 87.9 85.9 131 121.7 50.8 209.1 73.9 242.2 293.3 31.5 681.5 24.5 68.7 168 30.3 222.2 53.2 87.4 13.8 29.4 140.8 131.3 70.5 21.7 191.7 135.6 37.1 124.2 50.8 268 286.5 260.3 65.5 52.7 54.3 26.1 88.3 26.2 257.7 79.4 10.4
"219778_at" 39.4 21.1 27.5 16.9 22.2 16.6 25.2 24.7 17.8 43.2 16.7 76.6 29.4 87.6 15 19.5 9.5 22.6 15.6 36.2 24.5 7.5 7.6 21.6 140.1 17.6 19.6 25.3 68.6 73 17.2 10.2 18.7 39.8 7.8 123 22.6 46.4 21.8 34.3 44.9 14.8 99.9 47 17.6 14.5 31.2 21.1 22.8 31.3 29.8 141.6 90 19.1 39.2 22.6 96.1 12.9 7.4 27.2 23.6 111.4 28.5 12.7 65.2 20.4 36.4 16.2 30.1 53.1 10.6 41.8 12.6 25.7 31.6 12 28.9 30.3 53.1 52.2 30.8 29.4 24.3 42.9 14.1 64.3 23 24.6 51.7 8.4
"226961_at" 758.5 421.4 161.4 118.2 1232.7 832.4 781.4 241.5 214.2 709.3 389.1 77.8 119.3 212.8 794.8 198.4 1014.8 427 666.5 132.8 157.4 525.4 895.8 317.7 87.5 585.1 369.3 187.9 118.2 506.7 281.5 528.8 127.9 295.1 156.1 141.3 529.9 628.4 804.4 383 558.1 514.2 93.1 251 394.4 238.5 154.4 569.9 69.6 228.4 117.6 110.4 127.2 429.5 141.1 633.6 120 94.5 349.2 253.1 516.2 585.2 368 714.1 136.3 1028.4 386.3 473.1 279.7 618.5 111.1 334.1 1108.8 97 113.5 545 747.7 888.3 23.4 464.7 221.1 774 427.6 230.4 403.5 676.3 157.7 223.6 503.2 880.4
"206025_s_at" 78 67.6 137 905.9 83.7 348.4 115.9 219.9 340.6 108.6 50.3 369 182.3 344.4 76.7 131 131.2 105.9 51 429.1 53.1 20.2 20.9 278 668.8 30.3 119.8 119.9 171.4 237.6 101.3 30 140.9 134.4 107.5 272.2 75.8 45.3 43.8 70.3 178.6 102.3 657.5 207 159.7 159.8 85.4 29.7 242 112.5 132.4 135.7 208.1 122.9 263.3 69.2 277.4 250.1 47.4 611.5 61.8 241.7 145.8 22 278.5 78.1 117.8 54.6 146.7 317.7 303.8 102.6 51.9 229.9 170.7 102 189.1 171.2 380.1 694.5 276.6 105.2 115 210.9 45.9 123.9 82.1 602.5 200.1 35.6
"227399_at" 64.1 34.8 73.4 53.1 26.3 36.6 66.8 68.8 100.3 63.3 34.8 366.7 105.2 135.4 24.3 67.4 52.5 61.4 21.7 108.6 31.6 16.6 10 155.2 477.6 21 50.9 66.2 173.8 121.5 21.1 10.3 33.6 60 26.6 120.8 28.1 45.5 30.5 62.2 73.2 40.1 277.4 106.7 37 40.3 56.7 18.6 98.2 83.7 55.8 242.7 176 54.8 128.4 36.9 342.8 51.1 35.3 38.9 45.1 190.1 65.1 24.4 227.6 36.4 24.9 26.9 67.7 83.3 44.6 68.3 29.9 105 54 52.7 107.9 31.2 85.7 100.4 120.5 28.9 53 66.9 20.7 96.4 29 111.7 56.1 16.8
"226764_at" 114 92.7 26.8 24.2 91.9 85.3 138.1 71.7 66.6 105.4 146.4 57.6 57.6 124.2 171.7 18.8 101 178.2 103 52.4 28.4 129.4 94.7 18.7 59.2 184.6 87.5 51.7 71.5 105.3 146.5 112.6 61.6 128.9 74.2 98.4 158 156.3 118.9 159.7 123.6 82.7 51.3 101.1 95 152.7 97.2 155.2 25.1 127.8 39.4 40.5 86 82.6 87.6 113 123.5 58 101 87.4 110.5 129.6 89.2 142.8 86.7 118.7 89.2 206.1 34.5 109.7 16.2 118.5 86.1 29.7 21.3 197 141.7 114.2 40 65.5 35.1 145.9 108.9 87.1 158.4 132.6 22.2 42.8 121.7 110.3
"207480_s_at" 81.9 69.9 273.8 186.6 70.5 64.7 127 148.2 144.9 122.9 95.8 260.6 422.6 141.3 47.6 35 50.1 66.9 73.9 195.8 132.2 46.8 63.4 115 187.8 71 77.3 137.8 266.7 129.9 57 28.9 105.7 136.9 37.6 292.1 99.1 166.7 41.7 210.9 181.8 56.6 193.6 204.9 130.1 52.1 111.1 64.7 129.2 185.5 122.6 307.1 229.1 85.6 156 116.4 199.5 153.6 60.3 115.4 89.6 258.8 184.3 47.2 298.2 63.3 67.2 52.1 240.1 186.8 213.8 357.9 57.3 160.2 138.4 69.8 86.9 59 233.5 147.9 251.3 63.7 95.1 171 46.2 94.1 94.7 251.7 121 24.1
"222449_at" 492.3 464.7 320.5 205.5 873.2 484.8 856.4 185.6 160.8 792.7 536.6 381.5 218.8 942.4 637.8 124.1 689.1 1255.4 189.2 246.7 172.2 287.6 184.7 158.3 393 632.2 739.9 367 767.6 722.9 1453.3 662.9 292.6 1979 247.8 1851.9 649.6 1034.5 1134.8 531.9 1051.2 927.4 398.2 614.4 1067.1 782.4 1163.1 948.6 472 600.8 500.8 527.1 1518 483.2 920.9 1364 1042.3 590.6 208.5 499.5 1076.8 1850.9 1415.1 527.8 518.5 1342.2 447.8 1564.3 1022.7 1157.8 169.6 868.6 1046.1 150.5 650.4 1457.6 284.1 575 263.4 1027.3 242.1 1408.5 498 289 1242.3 1134.7 151.8 663.9 1673.7 1076.4
"208131_s_at" 216.1 162 101.7 18 31.8 46.4 109.4 93.5 23.7 196 167.8 539.2 190.4 225.4 42.7 2.5 66 98.6 59.1 87.3 27.9 31 2.2 139.1 633.7 95.3 136.2 154.1 367.7 308.2 107.8 27.5 61.6 182.7 10.7 754.7 110.1 245.7 57.9 178.3 240.2 42.3 682.8 180.5 95.2 40.8 147.7 99.8 61.2 188.6 196.7 618 431.9 34 264 63.6 635.3 16.6 41 69.3 151.9 694.2 83.7 61.9 369.4 131.2 74.8 38.9 109.6 297.7 61.7 202.6 76.1 194.9 160.4 53.5 170.5 121.2 52.1 206.7 46 106.3 141.9 240.8 61.3 431.8 18.3 27.7 103.1 15.2
"210933_s_at" 88.1 58.3 243.9 174.7 69.5 83.8 93.5 167.9 346.4 99.7 41.6 139.2 74.6 390.2 58.2 130.7 67.9 59.8 29.9 187.2 333.5 37.2 39.8 52.8 438.8 46.2 52.9 173.8 56.7 36.5 47.6 16.2 215.7 38.1 30 163.1 57.9 28.9 22.6 48.1 44.2 25.3 204.6 146.9 54.7 28 36.6 29.8 82.2 40 26.2 139.6 22.8 10.7 102.4 26.6 227.1 16.9 18.7 141.2 63.5 62.3 147.4 20.4 303.2 18.8 53.6 34.2 63.4 64.9 33.6 182.7 49.2 111.1 95.1 61.1 90.1 76 51.4 74.6 111.5 27 58.4 208.7 52.7 33 45.7 110.5 56.2 43.1
"221019_s_at" 141.8 50.1 145.7 101.2 38.8 41.7 175 162.4 96.9 111 50.5 296.1 251.3 185.4 28.2 66.9 49.3 38.2 73.4 94.4 38.8 35.4 26.3 93.7 213.9 58.4 70.8 90.3 276.1 145 59.3 46.8 75.6 109.2 46.1 451.9 53.6 161.6 53.1 115.3 279.7 77.3 110.3 213 105.3 48.8 89.6 50.6 104.6 181.5 184.6 253 369.7 76.5 166.9 34.5 420.1 32.4 41.7 106.8 79.6 302.2 99 61.6 274.9 76.8 67.7 32.9 110.4 130.1 53.1 184.9 21 214.5 110.4 61.9 67.7 58.7 130.7 221.7 104.2 45.6 72.8 137.1 28 241.8 25.4 140.6 148.7 20.8
"205700_at" 50.9 66.7 47.2 31.8 35.4 19.2 51.2 39.5 13.3 49.9 40.2 137.7 34.3 102.9 34.6 16.8 38.5 58.5 31.1 64.6 21.8 39.1 21.4 70.4 214.5 56.3 103.5 34.1 131.3 117.2 36 19.3 50.9 40.4 10.8 322.5 92.6 171.3 59.1 118.5 89.6 23.8 161.7 108.9 104.8 12.9 121.7 83.7 48.1 170.7 111.9 138.9 112.2 50.9 104.3 36.4 179.7 14.2 55.2 42.4 80.2 185.2 103 57.6 238.6 86.6 31.7 27.2 134 155.9 10.9 62.6 8.9 37.7 40.8 35.5 49.3 38.7 10.7 71.5 40.5 38.6 24.3 49.8 16.1 94.1 23.3 28.9 67.6 26.2
"204015_s_at" 45.1 47.5 771.9 157.2 19.1 59.2 74.3 138.9 129.5 91.9 39.9 115.3 666.8 65.4 32.6 125.7 63.2 100.8 52.2 312.9 196.8 401.2 24.3 46.1 143.9 81.5 57.5 263.7 200.7 82.1 13.6 131.8 226.5 36.5 42.5 134 62.2 50.2 26.6 68.5 98.6 41.6 141.1 158.3 475.4 33.3 111.1 34.8 248.3 88.3 198.4 400.3 122.8 50.4 220.9 45.7 117.8 185.9 289.1 143 21.6 90.2 220.5 43.3 255.6 16.9 87.4 79.2 93.2 40.5 294.7 135.6 44.8 161.3 192.9 128.1 50.2 32.3 152 93.3 499.9 44.1 34.7 119.6 26.3 30.7 246.3 155.7 25.8 26.7
"209108_at" 1394.7 1931.2 857.8 506.8 1959 1723.2 1789.3 586 383.2 1826.3 1919.9 482 191.5 715.8 1341.9 787.8 1287.8 813.3 1033.1 628.7 462 1998 2448.6 431 268.3 2494.7 1384.1 446.5 410.4 1452.6 2131.3 2103.9 632.1 1872.7 1376.6 646.9 2400.2 1759.3 2550.2 1384.5 1712.3 2195.7 625.2 852.5 1072.2 1647.4 1369.5 2100.1 737.5 1557.2 1049.6 555.7 2243.3 1380.6 547.6 2275.5 365.8 339.4 1555.9 1973.6 2662.4 626.4 1667 2091.4 550.5 2924 1211.3 1827.7 974.8 2558.9 814 448.9 2266 304.6 2370.2 2388.7 1871.6 2047.3 408.8 1712 463.1 2559.3 823.6 647.9 1741.6 1354.3 774.4 353 1274.1 1810.7
"227629_at" 178.2 223 30.1 28.3 120.1 82.8 232.7 99.5 121.4 173.4 301.6 11.8 50.4 101.9 89.3 139.6 204.8 205.8 189.2 44.1 65.5 271.9 133.9 32 22.5 194.9 179.9 25.9 16.4 124.5 300.1 124.3 59.5 153.4 197.7 36.4 253.7 171.6 244.2 93.2 73.9 105.8 41.9 172.5 153.1 279.1 144 130.9 44.1 121.2 33.2 21.1 72.8 248.3 76.5 134 25.1 56.8 51.2 178.7 233.4 29.1 211 200.9 48.4 358.6 142.2 109.1 67.5 156.2 27.3 48.2 125.7 22.2 10.4 150 276.6 119.9 7.2 76.1 25.1 165.2 67.2 30.2 124.2 47.7 165.6 34.1 189.7 75.5
