"GSM820048" "GSM820049" "GSM820050" "GSM820051" "GSM820052" "GSM820053" "GSM820054" "GSM820055" "GSM820056" "GSM820057" "GSM820058" "GSM820059" "GSM820060" "GSM820061" "GSM820062" "GSM820063" "GSM820064" "GSM820065" "GSM820066" "GSM820067" "GSM820068" "GSM820069" "GSM820070" "GSM820071" "GSM820072" "GSM820073" "GSM820074" "GSM820075" "GSM820076" "GSM820077" "GSM820078" "GSM820079" "GSM820080" "GSM820081" "GSM820082" "GSM820083" "GSM820084" "GSM820085" "GSM820086" "GSM820087" "GSM820088" "GSM820089" "GSM820090" "GSM820091" "GSM820092" "GSM820093" "GSM820094" "GSM820095" "GSM820096" "GSM820097" "GSM820098" "GSM820099" "GSM820100" "GSM820101" "GSM820102" "GSM820103" "GSM820104" "GSM820105" "GSM820106" "GSM820107" "GSM820108" "GSM820109" "GSM820110" "GSM820111" "GSM820112" "GSM820113" "GSM820114" "GSM820115" "GSM820116" "GSM820117" "GSM820118" "GSM820119" "GSM820120" "GSM820121" "GSM820122" "GSM820123" "GSM820124" "GSM820125" "GSM820126" "GSM820127" "GSM820128" "GSM820129" "GSM820130" "GSM820131" "GSM820132" "GSM820133" "GSM820134" "GSM820135" "GSM820136" "GSM820137"
"210758_at" 71.9 42.5 131.9 135.5 44.6 66.9 45.6 116.4 218.4 35.9 26.4 200.3 254.4 76.8 60.5 292.6 60.4 52.7 63.6 185.8 157.5 35.8 36.3 329.5 22.6 28.7 30.5 129.6 122 21.5 45.7 31.1 132 30.6 40.9 20.2 36 26.9 35.7 35.3 13.7 23.2 81.7 25.4 33.7 28.6 29.5 38.9 125.6 25.5 123.6 125.8 17.3 19.2 46.6 15.9 37.2 144.6 46.7 29.9 31.8 23.6 24.3 27.3 61.8 40.1 40.7 41.3 43.2 39.3 189.9 14.5 62.6 199.2 180.6 49.6 47.8 82.8 298.6 33.6 315.7 68.6 42 122.2 78 56.4 160 114.6 48.8 63.3
"206638_at" 3.4 4.2 6 5.7 0.8 14 20.6 9.1 10.6 12.7 8.7 128.9 60 46.7 4.4 0.4 1.6 1.1 1.7 22.4 9.9 9.5 0.3 17.6 80.4 7.9 12 10.8 138.8 113.8 20.2 1.7 11.8 11.1 4.6 164.8 11 28.9 6.5 59.7 65.3 5.4 32.2 35.8 44.8 9.7 0.8 4.4 11.4 31.1 25 66.6 240.8 39.5 15.7 15 59.8 0.8 8 17 20.9 180.6 24.2 7.4 79.5 11.7 9.6 0.5 55 38.3 6.3 62.6 6 17.5 29.5 6.9 35.9 6.2 0.3 38.5 1.9 10.8 19.8 32.6 0.5 48.7 1.4 0.4 13.3 4.8
"227736_at" 987.1 585.3 191 15.2 862.2 1282.7 716.3 140.1 170.9 452.4 2142.3 149.6 1.1 23.4 1250.4 44.3 983.5 760.8 1228.2 122.7 238.4 1754.9 454.7 352.9 97.7 1395.9 1340.5 239.2 7.9 598.4 195.3 3211.2 135.8 319.5 650.3 69 1141.6 963.8 865 825 471 757.4 100.8 343.2 36.3 82.8 134.6 1595.5 58.1 237.7 142 0.7 65.3 969.5 160.2 1334.4 453.8 1.5 852.6 427.8 242.3 177.3 78.6 1229 269.6 1374.3 1516.7 1278.1 263.1 1130.4 189.2 164.1 3043.7 5.7 47.1 1087.3 1129.4 734.9 4.6 145.4 0.4 695.2 91.8 364.5 989.5 96.7 107.1 169.9 964.6 1047.1
"226907_at" 278.3 101.5 84.3 1.6 552 301.7 542.6 29.5 7 145.9 338.1 29.8 3.6 44.6 468.2 5.7 363.6 194.9 171 88.7 64.6 116.8 445.9 208.5 22.4 528.7 261.4 41.4 101.9 379.1 336.7 285.5 41 307.1 11.1 93.2 356.3 487 297.6 408.9 234.6 263.3 26.5 103.1 13.9 185 348.4 528.4 25.4 19.1 34.7 315.4 76.1 316.3 34.5 390.8 19.6 1.2 20.6 65.1 141.6 60.8 26 151.3 75.1 357.3 208.3 798.7 117.3 248.5 16.5 35.9 320.6 6.7 116.8 216.6 253.9 193 1.2 73 38.4 329.3 274.8 50.3 490.8 196.8 35.5 42 226 564.9
"204457_s_at" 141.7 93.7 112.4 215.6 43.9 70.3 129.8 263.8 283.4 158.3 115.4 1112.8 392.4 405.9 20.8 58.6 113 148.8 43.4 457.5 49.9 13.3 8.1 499.2 2743.3 29.3 147 191.7 1314.2 677.8 126.7 11.1 137.2 256.1 166.1 1232.7 146.6 272.2 70.1 244 397.4 88.7 1598.7 580.3 218.5 188.9 115.1 59 509.2 244.5 282 1061.9 1069.6 180.5 562.2 67.8 2450 143.4 26 374.5 176.7 1016.9 311.2 23.9 1354.9 165.2 84.1 39.7 208.3 425.6 227.6 356 32.7 615.4 206.4 25.1 324.9 68.8 389 258.5 503.8 58.5 147.3 425 24.5 333.5 60.4 546.2 302.6 8.7
"202397_at" 489.1 688.9 1260.2 1290.3 402.8 524 426.3 905.2 1123.5 252.2 249 1085.4 997.8 518.7 452.2 1652.3 678.4 506.5 332.6 1177.1 1315.6 347.3 664.4 1472.6 396 142.5 196.6 743.4 695.4 151.3 312.2 174.3 740.4 212.1 280.2 123.7 122.9 108.5 194.2 142 117.1 145.8 456.6 118.8 128.8 143.6 105 185.7 1115.8 107.2 707.6 293.5 113.6 133.1 217.1 109.4 64.6 473.4 126.3 167.2 179.3 147 128.3 162.3 285.5 139.1 395.9 222.7 103.7 104.2 915.1 131.2 306.8 1037 1609.3 382.1 354.4 437.5 769 513.1 917.3 255.1 571.4 1017 527.1 442.8 1191 967.1 535.6 580.7
"209875_s_at" 636.6 790.3 2319 4487.6 237.7 1257.3 681.8 4028.4 2751.5 237.9 63.7 3559.3 3007.5 5288.4 103.5 1248.6 181.1 354.2 1724.7 3216.8 909.6 70.2 91.5 3400.7 5713.6 77.7 760.9 1045.5 2988.6 2576.6 3884.7 224.5 1622 3016.2 1416.2 5176.7 1968.7 285.1 1195.1 1014.9 914.2 257.8 5436.6 3225.1 1172.1 1980.4 897.4 398.6 6012.4 472.1 2051.5 6741.7 3893.8 1974 1976.4 207.6 7648.9 1437.4 370 1092.5 713.3 3316 1580.5 228.3 5953.2 1569.8 685 123.4 783.1 490.2 1682.3 1915.7 95.9 2956 6090 122.5 1519.7 1440 1436.1 1814.4 3062.2 169.8 91.3 1602 92.4 4991 504.3 3832.2 580.5 85.6
"222696_at" 382.3 1026.3 229.5 55.2 1084.4 900.2 1760.5 125.2 146.4 1292.5 1055.1 237.1 54.9 2072.9 1134.4 105.3 1309.4 951.4 1076.2 243.7 386.1 1835.2 3851.6 291.4 138.6 2342.6 1023.2 242.7 168.4 502 1451.9 1208.7 333 1650.2 467.6 370.9 721.8 1379.9 807.8 1462.8 352.6 1472.7 194.9 674.9 116 1541.9 481.1 1744.6 473.4 186.7 78.2 135.6 1823.3 1533.2 98.1 747.9 367 419.2 527.6 455.8 1979.7 2270.8 931 1391.6 120.3 1140.3 758.5 1231.9 284.6 499.2 125.5 170.9 1101.1 118.7 1070.4 1022.4 875.9 827.8 426 852.6 510.2 2112.5 2688.2 225.9 1705.5 908.9 141.9 189.8 1270 1463.8
"202925_s_at" 373.8 202.1 81.4 92.1 606.8 268.9 392.5 87.6 111.1 433.4 345.8 56.4 72.1 148.4 482.2 146.4 397.8 436.2 165.5 71.8 98.8 230.5 533.4 112.6 71.2 418 427.9 72.9 84.9 236.4 593.3 245.2 136.5 378.8 154.9 97.8 306.5 328.7 400.3 342.1 190.1 388.6 76.7 109.2 214.5 248.8 903.1 333.8 64.3 259.6 106 34.2 81.5 163.9 105.6 396.9 112.7 105.9 105.1 110.5 441.9 123.5 187.7 363.2 81.9 244.5 112.7 431.4 61.1 331.9 88.1 60.6 223.7 59.6 184.5 284.1 183.3 158 88.8 93.2 55.6 346.5 317.3 70.8 557.3 317.4 74.5 70 179.1 511.5
"213169_at" 194.2 118.6 45.5 42.8 306.1 337 245.9 84.7 42.1 234.1 233.2 115.3 49.3 144.4 180 21.5 230.6 191.9 203 86.7 134.6 263.5 198.1 38.6 116.3 349 153.4 58 80 111 208.8 105.9 77 203.8 75.3 132 365.2 226.6 159.9 271.4 230.7 184.2 90.3 126.4 112.2 96.9 250 245.3 113.9 148.9 32 105.5 142.9 120.2 85.9 240.3 90.8 45.9 293.2 246.6 157.6 137.1 228.9 169.3 94 218 251.4 218 99.4 202.5 45.6 104.7 205.2 31.1 52.4 194.4 151.6 115.2 18.4 103.9 58.6 220.1 238.1 100.5 203.8 54.6 105.1 56.8 267.9 92.4
